Website,Category,Country
abc.es,News,Spain
abendzeitung-muenchen.de,News,Germany
aerokurier.de,Transportation,Germany
allgaeuer-zeitung.de,News,Germany
allgemeine-zeitung.de,News,Germany
atlantico.fr,News,France
autlook.at,Business,Austria
autoservice.co.at,Transportation,Austria
bgland24.de,News,Germany
bild.de,News,Germany
boyens-medien.de,News,Germany
braunschweiger-zeitung.de,News,Germany
capital.de,News,Germany
cavallo.de,Business,Germany
chiemgau24.de,News,Germany
corriere.it,News,Italy
deichstube.de,Sports,Germany
dieharke.de,News,Germany
dispo.cc,Computers & Technology,France
dnn.de,News,Germany
donaukurier.de,News,Germany
echo-online.de,News,Germany
elektropraxis.at,News,Austria
elpais.com,News,Spain
factorynet.at,Computers & Technology,Austria
flugrevue.de,Travel,Germany
geo.de,Leisure & Recreation,Germany
gnz.de,News,Germany
goettinger-tageblatt.de,News,Germany
goslarsche.de,News,Germany
haz.de,News,Germany
heise.de,Computers & Technology,Germany
hildesheimer-allgemeine.de,News,Germany
hlk.co.at,News,Austria
industriemagazin.at,News,Austria
innsalzach24.de,Entertainment,Germany
kn-online.de,News,Germany
krone.at,News,Austria
ksta.de,News,Germany
landeszeitung.de,News,Germany
lastampa.it,News,Italy
lavanguardia.com,News,Spain
lemonde.fr,News,France
lepoint.fr,News,France
lequipe.fr,Sports,France
liberation.fr,News,France
ln-online.de,News,Germany
lvz.de,News,Germany
mainpost.de,News,Germany
mangfall24.de,News,Germany
maz-online.de,News,Germany
milanofinanza.it,News,Italy
mittelbayerische.de,News,Germany
mittelhessen.de,News,Germany
mopo.de,News,Germany
motorradonline.de,Leisure & Recreation,Germany
moz.de,News,Germany
neuepresse.de,News,Germany
nn.de,News,Germany
nrz.de,News,Germany
op-marburg.de,News,Germany
ostsee-zeitung.de,News,Germany
ovb-online.de,News,Germany
paz-online.de,News,Germany
pcgameshardware.de,Computers & Technology,Germany
pnp.de,News,Germany
promobil.de,General,Germany
raspberry-pi-geek.de,Computers & Technology,Germany
rheinpfalz.de,News,Germany
rnd.de,News,Germany
rnz.de,News,Germany
rosenheim24.de,News,Germany
saechsische.de,News,Germany
sciencesetavenir.fr,News,France
siegener-zeitung.de,News,Germany
sn-online.de,News,Germany
solidbau.at,Business,Austria
stern.de,News,Germany
stimme.de,News,Germany
stol.it,News,Italy
sudouest.fr,News,France
sueddeutsche.de,News,Germany
tageblatt.de,News,Germany
traktuell.at,Computers & Technology,Austria
volksstimme.de,News,Germany
wasserburg24.de,News,Germany
waz-online.de,News,Germany
waz.de,News,Germany
wormser-zeitung.de,Search Engines & Portals,Germany
wp.de,News,Germany
wr.de,News,Germany
zeit.de,News,Germany
